title,genre,developer,critic_score,total_sales,release_date
Grand Theft Auto V,Action,Rockstar North,9.366666666666667,48.43,2013-09-17
Call of Duty: Black Ops,Shooter,Treyarch,8.1,30.990000000000002,2010-11-09
Call of Duty: Modern Warfare 3,Shooter,Infinity Ward,7.5,30.71,2011-11-08
Call of Duty: Ghosts,Shooter,Infinity Ward,7.833333333333333,28.8,2013-11-05
Call of Duty: Black Ops II,Shooter,Treyarch,8.333333333333334,28.080000000000002,2012-11-13
Call of Duty: Modern Warfare 2,Shooter,Infinity Ward,9.333333333333334,25.02,2009-11-10
Grand Theft Auto IV,Action,Rockstar North,9.733333333333333,22.53,2008-04-29
Call of Duty: Advanced Warfare,Shooter,Sledgehammer Games,8.72,21.78,2014-11-04
The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Game Studios,9.025,20.51,2011-11-11
Call of Duty 4: Modern Warfare,Shooter,Infinity Ward,8.925,18.33,2007-11-05
Battlefield 3,Shooter,Dice,8.633333333333333,17.32,2011-10-25
Guitar Hero III: Legends of Rock,Misc,BudCat Creations,8.424999999999999,16.36,2007-10-28
FIFA 15,Sports,EA Canada,7.359999999999999,16.28,2014-09-23
Grand Theft Auto: Vice City,Action,Rockstar North,9.3,16.189999999999998,2002-10-28
FIFA 18,Sports,EA Vancouver,7.525,16.12,2017-09-29
Call of Duty: World at War,Shooter,Treyarch,8.2,15.94,2008-11-10
FIFA 16,Sports,EA Canada,8.7,15.82,2015-09-22
Call of Duty: Black Ops 3,Shooter,Treyarch,8.1,15.09,2015-11-06
FIFA 17,Sports,EA Canada,8.850000000000001,14.649999999999999,2016-09-27
Red Dead Redemption 2,Action-Adventure,Rockstar Games,9.8,13.94,2018-10-26
The Sims 3,Simulation,EA Redwood Shores,7.540000000000001,13.74,2009-06-02
Assassin's Creed IV: Black Flag,Action-Adventure,Ubisoft Montreal,8.466666666666667,13.709999999999999,2013-10-29
LEGO Batman: The Videogame,Adventure,Traveller's Tales,7.528571428571429,13.55,2008-09-23
Fallout 4,Role-Playing,Bethesda Game Studios,8.5,13.510000000000002,2015-11-10
Call of Duty: WWII,Shooter,Sledgehammer Games,8.1,13.4,2017-11-03
Battlefield 1,Shooter,EA DICE,9.166666666666666,13.16,2016-10-21
Grand Theft Auto III,Action,DMA Design,9.3,13.11,2001-10-23
Red Dead Redemption,Action,Rockstar San Diego,9.5,13.07,2011-10-11
LEGO Star Wars: The Complete Saga,Action,Traveller's Tales,7.933333333333334,12.74,2007-11-06
Star Wars Battlefront (2015),Shooter,EA DICE,7.166666666666667,12.67,2015-11-17
FIFA Soccer 11,Sports,EA Canada,7.8,11.77,2010-09-28
FIFA Soccer 12,Sports,EA Canada,8.625,11.68,2011-09-27
Assassin's Creed II,Action,Ubisoft Montreal,8.866666666666667,11.41,2009-11-17
Assassin's Creed,Action,Ubisoft Montreal,8.0,11.29,2007-11-13
Grand Theft Auto: Liberty City Stories,Action,Rockstar Leeds,8.55,11.26,2005-10-25
Battlefield 4,Shooter,EA DICE,8.566666666666666,11.120000000000001,2013-11-15
Batman: Arkham City,Action,Rocksteady Studios,9.55,10.29,2011-10-18
Minecraft,Misc,Mojang,7.7,10.06,2014-10-07
Halo: Reach,Shooter,Bungie,9.3,9.97,2010-09-14
Fallout 3,Role-Playing,Bethesda Game Studios,8.933333333333334,9.94,2008-10-28
Need for Speed Underground 2,Racing,EA Black Box,7.6000000000000005,9.61,2004-11-15
Resident Evil 5,Action,Capcom,8.6,8.629999999999999,2009-03-13
Call of Duty: Infinite Warfare,Shooter,Infinity Ward,7.9,8.48,2016-11-04
LEGO Harry Potter: Years 1-4,Adventure,Traveller's Tales,7.8999999999999995,8.46,2010-06-29
Tony Hawk's Pro Skater,Sports,Neversoft Entertainment,8.666666666666666,8.459999999999999,1999-08-31
Assassin's Creed: Revelations,Action,Ubisoft Montreal,8.350000000000001,8.45,2011-11-15
Spider-Man: The Movie,Action,Treyarch,7.85,8.4,2002-04-15
FIFA Soccer 10,Sports,EA Canada,8.525,8.39,2009-10-20
LEGO Indiana Jones: The Original Adventures,Adventure,Traveller's Tales,7.65,8.32,2008-06-03
Guitar Hero: World Tour,Misc,Vicarious Visions,8.5,8.2,2008-10-26
Overwatch,Shooter,Blizzard Entertainment,9.0,8.18,2016-05-24
Medal of Honor,Shooter,EA Los Angeles,7.766666666666667,8.129999999999999,2010-10-12
Mario & Sonic at the Olympic Winter Games,Sports,Sega,7.199999999999999,8.01,2009-10-13
Star Wars: The Force Unleashed,Action,LucasArts,6.949999999999999,7.94,2008-09-16
The Elder Scrolls IV: Oblivion,Role-Playing,Bethesda Softworks,9.233333333333333,7.84,2009-07-07
Batman: Arkham Asylum,Action,Rocksteady Studios,9.05,7.82,2009-08-25
Assassin's Creed III,Action-Adventure,Ubisoft Montreal,8.366666666666667,7.75,2012-10-30
Spider-Man 2,Action,Treyarch,7.133333333333333,7.63,2004-06-28
Madden NFL 16,Sports,EA Tiburon,8.15,7.59,2015-08-25
Final Fantasy XIII,Role-Playing,Square Enix,8.05,7.539999999999999,2010-03-09
Tomb Raider II,Adventure,Core Design Ltd.,7.8999999999999995,7.53,1997-10-31
Call of Duty 3,Shooter,Treyarch,7.675,7.5200000000000005,2006-11-07
Medal of Honor: Frontline,Shooter,EA Los Angeles,8.5,7.42,2002-05-28
Guitar Hero II,Misc,Harmonix Music Systems,9.2,7.33,2006-11-07
LEGO Star Wars III: The Clone Wars,Action,Traveller's Tales,7.185714285714285,7.33,2011-03-22
LEGO Star Wars II: The Original Trilogy,Action,Traveller's Tales,7.612500000000001,7.32,2006-09-12
Rock Band,Misc,Harmonix Music Systems,8.625,7.28,2007-11-20
Street Fighter IV,Fighting,Capcom / Dimps Corporation,9.233333333333334,7.2700000000000005,2009-02-17
LEGO Star Wars: The Video Game,Action,Traveller's Tales,7.8,7.26,2005-04-02
Fallout: New Vegas,Role-Playing,Obsidian Entertainment,8.2,7.25,2010-10-19
Need for Speed: Most Wanted,Racing,EA Canada,8.475,7.220000000000001,2005-11-15
Need for Speed Underground,Racing,EA Black Box,8.6,7.2,2003-11-17
Battlefield: Bad Company 2,Shooter,EA Digital Illusions CE,8.9,7.16,2010-03-02
